Epoch,Architecture,Time,msPerStep,Loss,TrainAccuracy,ValidationLoss,ValidationAccuracy,Config
1,InceptionV3,269,609,740730002990836819639140352.0000,0.0376,4.0254,0.0477,AMDRP5754GB
2,InceptionV3,253,575,4.0511,0.0420,4.0255,0.0431,AMDRP5754GB
3,InceptionV3,248,563,4.0415,0.0436,4.0099,0.0477,AMDRP5754GB
4,InceptionV3,245,555,4.0264,0.0435,4.0023,0.0392,AMDRP5754GB
5,InceptionV3,244,554,4.0230,0.0412,4.0032,0.0457,AMDRP5754GB
6,InceptionV3,245,555,4.0161,0.0426,3.9840,0.0457,AMDRP5754GB
7,InceptionV3,245,556,4.0101,0.0450,3.9947,0.0477,AMDRP5754GB
8,InceptionV3,245,555,4.0085,0.0451,3.9877,0.0477,AMDRP5754GB
9,InceptionV3,245,555,4.0059,0.0449,3.9968,0.0444,AMDRP5754GB
10,InceptionV3,245,555,4.0038,0.0449,3.9888,0.0548,AMDRP5754GB
1,InceptionV3,896,2000,2.6477,0.3853,2.7943,0.4356,i7
2,InceptionV3,885,2000,2.0008,0.4634,2.6720,0.4380,i7
3,InceptionV3,888,2000,1.7977,0.5112,2.5551,0.4308,i7
4,InceptionV3,888,2000,1.6669,0.5425,2.3939,0.4589,i7
5,InceptionV3,889,2000,1.5863,0.5633,2.8568,0.4321,i7
6,InceptionV3,889,2000,1.5063,0.5886,2.6913,0.4386,i7
7,InceptionV3,888,2000,1.4303,0.6044,2.3274,0.4987,i7
8,InceptionV3,887,2000,1.3842,0.6192,2.9331,0.4484,i7
9,InceptionV3,884,2000,1.3302,0.6271,2.5131,0.4621,i7
10,InceptionV3,888,2000,1.2999,0.6448,2.7305,0.4478,i7
1,ResNet101,255,578,4.1236,0.0407,4.0013,0.0457,AMDRP5754GB
2,ResNet101,245,556,4.0122,0.0456,3.9896,0.0477,AMDRP5754GB
3,ResNet101,245,556,4.0036,0.0463,3.9938,0.0457,AMDRP5754GB
4,ResNet101,245,556,4.0015,0.0466,3.9862,0.0477,AMDRP5754GB
5,ResNet101,245,556,4.0023,0.0466,3.9859,0.0477,AMDRP5754GB
6,ResNet101,245,557,3.9991,0.0459,677273.1216,0.0477,AMDRP5754GB
7,ResNet101,245,557,3.9989,0.0478,3.9834,0.0457,AMDRP5754GB
8,ResNet101,246,557,4.0008,0.0475,3.9843,0.0477,AMDRP5754GB
9,ResNet101,246,557,3.9992,0.0456,3.9822,0.0477,AMDRP5754GB
10,ResNet101,245,556,3.9998,0.0462,3.9824,0.0477,AMDRP5754GB
1,ResNet101,899,2000,2.6904,0.3231,2.8457,0.3616,i7
2,ResNet101,888,2000,1.9970,0.4618,3.2496,0.3877,i7
3,ResNet101,895,2000,1.7757,0.5145,3.4259,0.3564,i7
4,ResNet101,904,2000,1.6700,0.5424,2.4273,0.4491,i7
5,ResNet101,903,2000,1.5690,0.5663,2.6986,0.4491,i7
6,ResNet101,905,2000,1.5227,0.5797,2.6436,0.4758,i7
7,ResNet101,903,2000,1.4375,0.6040,2.7554,0.4321,i7
8,ResNet101,904,2000,1.3918,0.6159,2.5640,0.4661,i7
9,ResNet101,904,2000,1.3333,0.6284,3.1729,0.4171,i7
10,ResNet101,901,2000,1.2925,0.6442,2.1552,0.5189,i7
1,ResNet50,255,579,4.0865,0.0393,4.0486,0.0379,AMDRP5754GB
2,ResNet50,245,557,4.0190,0.0434,421638680529634660973585367040.0000,0.0483,AMDRP5754GB
3,ResNet50,246,558,4.0116,0.0454,3.9930,0.0431,AMDRP5754GB
4,ResNet50,246,557,4.0018,0.0448,4.0240,0.0548,AMDRP5754GB
5,ResNet50,246,557,3.9983,0.0434,3.9829,0.0477,AMDRP5754GB
6,ResNet50,269,611,3.9969,0.0448,3951561527776766072565214994235392.0000,0.0392,AMDRP5754GB
7,ResNet50,271,615,4.0005,0.0449,1398084578240626832692543349587968,0.047,AMDRP5754GB
8,ResNet50,271,615,3.9993,0.0445,12068266850299297654412266176512.0000,0.0477,AMDRP5754GB
9,ResNet50,271,615,3.9996,0.0451,3.9896,0.0477,AMDRP5754GB
10,ResNet50,272,616,3.9992,0.0471,33475320838823118511394009382912.0000,0.0470,AMDRP5754GB
1,ResNet50,1477,3000,4.6038,0.0182,4.3427,0.0228,i7
2,ResNet50,1471,3000,4.6031,0.0170,4.3406,0.0222,i7
